category,lecture,lecturer,link
Undergaduate,Cost Accounting: Cost Behavior,Ann Medinets,https://www.youtube.com/watch?v=FPr7xmGzZFw&list=PLauepKFT6DK_QMbgMhKPmfiZklWjVAJny&pp=iAQB
Undergaduate,Cost Accounting: Managerial Behavior,Ann Medinets,https://www.youtube.com/watch?v=4nUkk5y29RI&list=PLauepKFT6DK_8P0vzWNPqxlNzXqBiNfWo&pp=iAQB
Undergaduate,Costing Accounting: Planning Future Cost,Ann Medinets,https://youtube.com/playlist?list=PLauepKFT6DK-PyIfiInHc--C_Elkwk3tB
Undergaduate,Introduction Accounting Information Systems,Professor Abigail Zhang,https://www.youtube.com/playlist?list=PLauepKFT6DK_N_sRueMKw_rn5MstA4YIr
Undergaduate,Auditing ,Professor Chanta Thomas,https://www.youtube.com/playlist?list=PLauepKFT6DK94oCxd2CHh7IaiG4PA6xx-
Undergaduate,Introduction to Managerial Accounting,Prof. Ann Medinets,https://www.youtube.com/playlist?list=PLauepKFT6DK8wiQHwIG_phUKKX1DxRcq9
Undergaduate,Supply Chain Analytics V: Sourcing Analytics,Dr. Yao Zhao,https://www.youtube.com/playlist?list=PLauepKFT6DK__vPA0XNCaUNPF4-tIKuz5
Undergaduate,Supply Chain Analytics IV: Inventory Analytics,Dr. Yao Zhao,https://www.youtube.com/playlist?list=PLauepKFT6DK8VIEp103V_CwGV9f2Z4IjD
Undergaduate,Supply Chain Analytics I: Introduction to Supply Chain Analytics,Dr. Yao Zhao,https://www.youtube.com/playlist?list=PLauepKFT6DK9DN_JnSTFqgd5Ai9pWWe1M
Undergaduate,Supply Chain Analytics II: Supply chain pain points and how analytics may relieve them,Dr. Yao Zhao,https://www.youtube.com/playlist?list=PLauepKFT6DK_kdO2NCWbkfl9ZJ7oNHUsI
Undergaduate,Supply Chain Analytics III: Supply chain analytics (SCA) job opportunities and preparation,Dr. Yao Zhao,https://www.youtube.com/playlist?list=PLauepKFT6DK-KLDpGNC2yq_BTsAAxoLA0
Undergaduate,Business Law-Fall 2018,Professor Williams,https://www.youtube.com/playlist?list=PLauepKFT6DK_0NCgruRYPcUSL8ebSG620
Undergaduate,Income Taxation (Fall 2018),Prof. Soled,https://www.youtube.com/playlist?list=PLauepKFT6DK9nG69FW-yCpetV3NUPuSOC
Undergaduate,Intermediate Accounting 1,Professor Sannella ,https://www.youtube.com/playlist?list=PLauepKFT6DK_L0iVxQ0TkpGADSvT2tKx7
Undergaduate,Managerial Accounting (Spring 2019),Professor Chyuan(abigail) Zhang ,https://www.youtube.com/playlist?list=PLauepKFT6DK9yLjsdyl2YdPvDYY0Doea6
Graduate,Accounting Practices and Principles Learning,Alexander Sannella,https://www.youtube.com/playlist?list=PLauepKFT6DK9Z-nYfYfiKKM4kA6SrIB4q
Graduate,Advanced Auditing and Information Systems,Professor Brennan,https://www.youtube.com/playlist?list=PLauepKFT6DK9w-bUZcaSvoYftPWqZKFM0
Graduate,Advanced Auditing and Information Systems,Professor Brennan/ Professor Qi,https://www.youtube.com/playlist?list=PLauepKFT6DK_J8pzDy-4nsnG-43OC2WFI
